batch,level,missing_mode,missing_rate,missing_rate_pct,imputation_method,config_type,mae,rmse,r2,seed,architecture
3C,level_4,MNAR,0.5,50.0,knn,baseline,0.0557319210886536,0.0780069283201635,0.0634843090191352,7,cnn
3C,level_4,MNAR,0.55,55.00000000000001,knn,baseline,0.0553308707580476,0.0743192016205327,0.1499376617462681,7,cnn
3C,level_4,MNAR,0.6000000000000001,60.00000000000001,knn,baseline,0.0545308382575425,0.0729826636840392,0.1802373556348945,7,cnn
3C,level_4,MNAR,0.65,65.0,knn,baseline,0.0538271917352083,0.0712989828410588,0.2176242649413959,7,cnn
3C,level_4,MNAR,0.7000000000000001,70.0,knn,baseline,0.054714187842321,0.0711892513993113,0.2200306149362261,7,cnn
3C,level_4,MNAR,0.75,75.0,knn,baseline,0.0528546680805971,0.0671754017036831,0.3055047999324942,7,cnn
3C,level_4,MNAR,0.8,80.0,knn,baseline,0.054998638290593,0.0738237385125185,0.1612340857893732,7,cnn
3C,level_4,MNAR,0.8500000000000001,85.00000000000001,knn,baseline,0.0579587752352286,0.0778240851286069,0.067869428112502,7,cnn
3C,level_4,MNAR,0.9,90.0,knn,baseline,0.0548518593632741,0.0725987784324735,0.1888384982485449,7,cnn
3C,level_4,MNAR,0.95,95.0,knn,baseline,0.0561830728582312,0.0710741633415823,0.222550450457922,7,cnn
3C,level_4,MCAR,0.0,0.0,knn,baseline,0.0783937402685139,0.095730645022889,-0.6946365457922201,1,cnn
3C,level_4,MCAR,0.05,5.0,knn,baseline,0.0787261550700561,0.0959168372796053,-0.7012349563123936,1,cnn
3C,level_4,MCAR,0.1,10.0,knn,baseline,0.0782937290748058,0.0953349378984235,-0.6806557809512561,1,cnn
3C,level_4,MCAR,0.15,15.0,knn,baseline,0.0774156111916446,0.0949263028968711,-0.6662790387345485,1,cnn
3C,level_4,MCAR,0.2,20.0,knn,baseline,0.0781798632684243,0.095125255050236,-0.673270930162956,1,cnn
3C,level_4,MCAR,0.25,25.0,knn,baseline,0.0772535880009824,0.094367989418385,-0.6467360838583098,1,cnn
3C,level_4,MCAR,0.3,30.0,knn,baseline,0.0788078845723155,0.0964771575812757,-0.7211693241733155,1,cnn
3C,level_4,MCAR,0.35,35.0,knn,baseline,0.078026396882254,0.0951418558417178,-0.673855003143291,1,cnn
3C,level_4,MCAR,0.4,40.0,knn,baseline,0.0778130014440774,0.0950191620245267,-0.6695406194158131,1,cnn
3C,level_4,MCAR,0.45,45.0,knn,baseline,0.0772031283219459,0.0940886389509162,-0.6370010959344474,1,cnn
3C,level_4,MCAR,0.5,50.0,knn,baseline,0.0778637519360178,0.0947649435349651,-0.6606190436282755,1,cnn
3C,level_4,MCAR,0.55,55.00000000000001,knn,baseline,0.0769401517285699,0.0953157010650039,-0.6799775986571774,1,cnn
3C,level_4,MCAR,0.6000000000000001,60.00000000000001,knn,baseline,0.0760737649825653,0.0932476728088574,-0.6078687757526713,1,cnn
3C,level_4,MCAR,0.65,65.0,knn,baseline,0.07741192054277,0.0943418599994937,-0.6458242852667064,1,cnn
3C,level_4,MCAR,0.7000000000000001,70.0,knn,baseline,0.0746929105562981,0.0913507378056982,-0.543116504620972,1,cnn
