batch,level,missing_mode,missing_rate,missing_rate_pct,imputation_method,config_type,mae,rmse,r2,seed,architecture,param_count
3C,level_4,MNAR,0.4,40.0,iterative,baseline,0.3002027947916655,0.4335562447519206,-27.9294113075108,7,cnn,36185
3C,level_4,MNAR,0.45,45.0,zero,baseline,0.1909473091194805,0.2691138934762299,-10.146048880251932,7,cnn,36185
3C,level_4,MNAR,0.45,45.0,mean,baseline,0.1998862754311958,0.2886656089062762,-11.824451397728076,7,cnn,36185
3C,level_4,MNAR,0.45,45.0,iterative,baseline,0.3729121948624552,0.5557055096082267,-46.52674916547732,7,cnn,36185
3C,level_4,MNAR,0.5,50.0,zero,baseline,0.2005707707265337,0.2903199653218989,-11.971867704744746,7,cnn,36185
3C,level_4,MNAR,0.5,50.0,mean,baseline,0.1934263515584214,0.2785054521970667,-10.93757484260595,7,cnn,36185
3C,level_4,MNAR,0.5,50.0,iterative,baseline,0.4292994378638854,0.6265762458931041,-59.42220316786982,7,cnn,36185
3C,level_4,MNAR,0.55,55.00000000000001,zero,baseline,0.2129043277134509,0.3098521874102194,-13.776032477392802,7,cnn,36185
3C,level_4,MNAR,0.55,55.00000000000001,mean,baseline,0.1978856682033919,0.2841560515659118,-11.42689197663814,7,cnn,36185
3C,level_4,MNAR,0.55,55.00000000000001,iterative,baseline,0.4157984264291046,0.5802180576062627,-50.8120989007362,7,cnn,36185
3C,level_4,MNAR,0.6000000000000001,60.00000000000001,zero,baseline,0.206935133938493,0.293692050881225,-12.274955935437658,7,cnn,36185
3C,level_4,MNAR,0.6000000000000001,60.00000000000001,mean,baseline,0.1953785467617396,0.2787516697301703,-10.958691409256389,7,cnn,36185
3C,level_4,MNAR,0.6000000000000001,60.00000000000001,iterative,baseline,0.5049581252586659,0.6935667201777141,-73.03297403374005,7,cnn,36185
3C,level_4,MNAR,0.65,65.0,zero,baseline,0.2136795490595827,0.3097419104581965,-13.765516715828674,7,cnn,36185
3C,level_4,MNAR,0.65,65.0,mean,baseline,0.2052650826265216,0.278933073967376,-10.974261275979984,7,cnn,36185
3C,level_4,MNAR,0.65,65.0,iterative,baseline,0.5402088849033029,0.7345555930225067,-82.04204659125315,7,cnn,36185
3C,level_4,MNAR,0.7000000000000001,70.0,zero,baseline,0.2160873871240917,0.3121640643672823,-13.99734966989896,7,cnn,36185
3C,level_4,MNAR,0.7000000000000001,70.0,mean,baseline,0.2154631028527532,0.3029450886003382,-13.124612310959272,7,cnn,36185
3C,level_4,MNAR,0.7000000000000001,70.0,iterative,baseline,0.5200878042039949,0.6977541339344353,-73.92962180713437,7,cnn,36185
3C,level_4,MNAR,0.75,75.0,zero,baseline,0.2260361962368731,0.309312327756666,-13.724588370204554,7,cnn,36185
3C,level_4,MNAR,0.75,75.0,mean,baseline,0.2242592316534706,0.321946710749578,-14.952056857811984,7,cnn,36185
3C,level_4,MNAR,0.75,75.0,iterative,baseline,0.5473572077387802,0.7521713865539562,-86.07276202464561,7,cnn,36185
3C,level_4,MNAR,0.8,80.0,zero,baseline,0.2193330590470595,0.2885097107096274,-11.810603063143931,7,cnn,36185
3C,level_4,MNAR,0.8,80.0,mean,baseline,0.2242256128897001,0.321527586436711,-14.910549722307676,7,cnn,36185
3C,level_4,MNAR,0.8,80.0,iterative,baseline,0.5554820293256575,0.7651448798944521,-89.10233732318703,7,cnn,36185
3C,level_4,MNAR,0.8500000000000001,85.00000000000001,zero,baseline,0.2183869558750255,0.300910911609981,-12.935564859220433,7,cnn,36185
3C,level_4,MNAR,0.8500000000000001,85.00000000000001,mean,baseline,0.2077033148818111,0.2988346172995783,-12.74391670668854,7,cnn,36185
3C,level_4,MNAR,0.8500000000000001,85.00000000000001,iterative,baseline,0.567930956270323,0.7947323270206522,-96.20541577182092,7,cnn,36185
3C,level_4,MNAR,0.9,90.0,zero,baseline,0.2253520253529163,0.3072808894943611,-13.531813208822886,7,cnn,36185
3C,level_4,MNAR,0.9,90.0,mean,baseline,0.2114286401822446,0.2925670093352479,-12.17344640187089,7,cnn,36185
3C,level_4,MNAR,0.9,90.0,iterative,baseline,0.5679280393294125,0.7682097440766732,-89.8256108096001,7,cnn,36185
3C,level_4,MNAR,0.95,95.0,zero,baseline,0.2183318783736592,0.3066421106334225,-13.471458224147645,7,cnn,36185
3C,level_4,MNAR,0.95,95.0,mean,baseline,0.2248570995934543,0.2950482905528281,-12.397843784697011,7,cnn,36185
3C,level_4,MNAR,0.95,95.0,iterative,baseline,0.5520359011892696,0.723089815225676,-79.46985026213024,7,cnn,36185
3C,level_4,MCAR,0.0,0.0,zero,baseline,0.0783937402685139,0.095730645022889,-0.6946365457922201,1,cnn,36185
3C,level_4,MCAR,0.0,0.0,mean,baseline,0.0783937402685139,0.095730645022889,-0.6946365457922201,1,cnn,36185
3C,level_4,MCAR,0.0,0.0,iterative,baseline,0.0783937402685139,0.095730645022889,-0.6946365457922201,1,cnn,36185
3C,level_4,MCAR,0.05,5.0,zero,baseline,0.0972863784007295,0.119799830501561,-1.653914974075973,1,cnn,36185
3C,level_4,MCAR,0.05,5.0,mean,baseline,0.0859252330464102,0.1125837623235566,-1.343830024656543,1,cnn,36185
3C,level_4,MCAR,0.05,5.0,iterative,baseline,0.0835243880527717,0.1012272937733536,-0.8948282486061194,1,cnn,36185
